Customer,TermsCode,CustomerName,Address,Cityline,Contact,Phone,DiscountType,SalesCode,DateLastActive,Taxable,SalesTaxExemptNo,InvoiceTaxExemptNo,CreditLimit,YTDInterest,YTDSales,Balance,PrintStatement,CustomerType,InvoiceFormat,DefaultOtFactor,SuspendService,CustSetupBy,CustSetupDate,Fax,EmailAddress,LocationId,ShareAcrossLocations,Locality,ETimeCardStyle,Website
VICTO1,A,VICTOR ERIC PREMIUM HOMES LTD,15 EAST 3RD AVENUE ,VANCOUVER, BC V5T 1C5,,6046770021,,,2019-07-05 00:00:00,False,,,5000,0,2001.9,0,True,O,A,50,False,ACCREC1,2018-02-07 10:35:52,,PAYABLE@VICTORERIC.COM, JASUNCION@VICTORERIC.COM,1,False,,0,
ALTER1,A,ALTERNATE GLAZING SYSTEMS,3545 197 STREET ,LANGLEY, BC V3A 7C4,,6048661713,,DOUG,2018-08-17 00:00:00,False,,,0,0,1748.45,0,True,O,A,50,True,ACCREC1,2019-06-17 10:15:41,,ACCOUNTS@ALTERNATEGLAZINGSYSTEMS.COM,1,False,,0,
PLANNI,A,PLANNING, URBAN DESIGN & SUSTAINABILITY,453 W 12TH AVE,VANCOUVER, BC V5Y 1V4,TAMI GILL,6048716026,,,,False,,,500,0,0,0,True,O,A,50,False,ACCREC1,2020-01-28 14:57:47,,AP.CENTRAL@VANCOUVER.CA,1,False,,0,
INTER1,A,INTERAZ ENTERPRISES INC.,CARRIE CATES COURT ,NORTH VANCOUVER, BC V7M 3K7,,7788794630,,,,False,,,0,0,0,0,True,O,A,50,False,ACCREC1,2018-02-07 10:11:25,,INTERAZENTERPRISES@HOTMAIL.COM,1,False,,0,
TMOSC1,A,T. MOSCONE LANDSCAPING LTD.,4025 EAST 1ST AVENUE ,BURNABY, BC V5C 3W5,,6042989626,,,,False,,,5000,0,0,0,True,O,A,50,False,ACCREC1,2018-02-07 10:31:20,,MICHELLE@MOSCONEBROS.COM,1,False,,0,
ARTIC1,A,ARTICLE,520 ALEXANDER STREET ,VANCOUVER, BC V6A 1C7,,8887463455,,,2017-11-10 00:00:00,False,,,5000,0,11906.89,0,False,O,A,50,False,ACCREC1,2018-02-07 09:34:55,,BILLS@ARTICLE.COM, LAUREN@ARTICLE.COM,1,False,,0,
LPSCO1,A,LPS DEMOLITION INC,120 - 2544 DOUGLAS ROAD,BURNABY, BC V5C 5W7,,6042980759,,,2020-03-06 00:00:00,False,,,5000,0,921.23,0,True,O,A,50,False,ACCREC1,2018-02-07 10:56:56,,TREVOR@LPSCONTRACTING.COM; LARRY@LPSCONTRACTING.COM,1,False,,0,
ROBERT,A,ROBERTSON FLOORS LTD,400-1055 WEST 14TH STREET ,NORTH VANCOUVER, BC V7P 3P2,,,,DOUG,2017-07-21 00:00:00,False,,,5000,0,2358.13,0,True,O,A,50,False,ACCREC1,2018-02-07 10:26:18,,ACCOUNTING@ROBERTSONFLOORS.CA,1,False,,0,
MARIN1,A,MARINO GENERAL CONTRACTING LTD,6676 LABURNUM STREET ,VANCOUVER, BC V6P 5M7,,,,,,False,,,0,0,0,0,True,O,A,50,False,ACCREC1,2018-02-07 10:16:33,,INFO@MARINOGC.COM,1,False,,0,
MEDIRI,A,MEDIRIKE CONTRACTING SERVICES,15 - 8171 STEVESTON HIGHWAY ,RICHMOND, BC V7A 1M4,,,,,2018-10-26 00:00:00,False,,,2000,0,188.65,0,True,O,A,50,False,ACCREC1,2018-11-20 08:09:55,,MELVYNWYEO@GMAIL.COM,1,False,,0,
GLASTE,A,GLASTECH GLAZING CONTRACTORS LTD.,1613 KEBET WAY ,PORT COQUITLAM, BC V3C 5W9,,,,,,False,,,0,0,0,0,True,O,A,50,False,MNOZICK,2017-06-19 16:35:07,,,1,False,,0,
K2STON,A,K2 STONE INC,4391 KING GEORGE BLVD ,SURREY, BC V3S 0L2,,,,,,False,,,0,0,0,0,True,O,A,50,False,MNOZICK,2017-06-19 16:42:34,,,1,False,,0,
SITKAW,A,SITKA WEST PROJECTS,12 - 618 WEST 6TH AVENUE ,VANCOUVER, BC V5Z 1A3,,,,,2019-11-01 00:00:00,False,,,2000,0,700.86,0,True,O,A,50,False,ACCREC1,2018-07-23 10:33:07,,ACCOUNTING@SITKAWESTPROJECTS.COM,1,False,,0,JAMIE@SITKAWEST.COM
CEDAR1,A,CEDARLINE INDUSTRIES LTD,6578 144 STREET ,SURREY, BC V3W 5R4,,6045901550,,,,False,,,10000,0,0,0,True,O,A,50,False,ACCREC1,2018-02-07 09:51:44,,AP@CEDARLINE.NET,1,False,,0,
GRIMEF,A,GRIME FIGHTERS SERVICE GROUP LTD.,107-330 EAST 7TH AVENUE ,VANCOUVER, BC V5T4K5,,7782377486,,,,False,,,0,0,0,0,True,O,A,50,False,MNOZICK,2017-06-19 16:35:37,,,1,False,,0,
FLYIN1,A,FLYING FRESH AIR FREIGHT,UNIT 113, 114 MILLER ROAD,RICHMOND, BC V7B 1K5,,6042331377,,,,False,,,5000,0,0,0,True,O,A,50,False,ACCREC1,2018-08-22 12:30:05,,ELLEN@FLYINGFRESH.CA,1,False,,0,
VANCOU,A,VANCOUVER NATIVE HOUSING SOCIETY,1726 EAST HASTINGS STREET ,VANCOUVER, BC V5L 1S9,,6043203312,,,,False,,,0,0,0,0,True,O,A,50,False,ACCREC1,2018-02-07 10:34:15,,JRAIL@VNHS.CA,1,False,,0,
WALLCE,A,WALL - DO NOT USE,,,,,,,,False,,,0,0,0,0,True,O,A,50,False,ACCREC1,2018-08-28 11:16:56,,,1,False,,0,
ROBER1,A,ROBERTSON WALLS AND CEILINGS,#101A - 17802 66 AVENUE,SURREY, BC V3S 7X1,,7785744455,,DOUG,2019-09-27 00:00:00,False,,,7500,0,16827.64,0,True,O,A,50,False,ACCREC1,2018-02-07 10:26:12,,INVOICES@RWCSYSTEMS.NET,1,False,,0,
NATUR1,A,NATUREPEDIC VANCOUVER,1588 WEST BROADWAY  ,VANCOUVER, BC V6J 5K9,,6047420066,,,,False,,,2000,0,0,0,True,O,A,50,False,ACCREC1,2018-02-07 10:18:46,,VANCOUVER@NATUREPEDICGALLERY.COM,1,False,,0,
SUSPE1,A,SUSPENDED STAGES INC.,6989 MERRITT AVENUE   ,BURNABY, BC V5J 4R7,,,,,2017-07-07 00:00:00,False,,,10000,0,2697.7,0,True,O,A,50,False,ACCREC1,2018-02-07 10:29:50,,CORY@SSIBC.CA,1,False,,0,
BCJOB1,A,BC JOBSITE SERVICES LTD.,#401-733 W. 14TH ST. ,NORTH VANCOUVER, BC V7M 0C6,,6049685668,,,,False,,,1000,0,0,0,True,O,A,50,False,ACCREC1,2018-02-07 09:47:02,,FRANKPORATTO@GMAIL.COM,1,False,,0,
GIZEL1,A,GIZELLA PASTRY LTD.,3436 LOUGHEED HIGHWAY ,BURNABY, BC V5M 2A4,,,,,,False,,,0,0,0,0,True,O,A,50,False,MNOZICK,2017-06-19 16:35:00,,,1,False,,0,
LIGHT1,A,LIGHT MAZE VANCOUVER,33777 ENTERPRISE AVENUE,ABBOTSFORD, BC V2S 7T9,,,,,,False,,,0,0,0,0,True,O,A,50,False,ACCREC1,2018-08-22 15:21:30,,PATRICK@SHINEMORELIGHT.COM,1,False,,0,
ATOMC1,A,ATOM CONSTRUCTION LTD,8711 COOPER ROAD ,RICHMOND, BC V6Y 2M6,,7782230160,,,2019-07-05 00:00:00,False,,,5000,0,1582.96,0,True,O,A,50,False,ACCREC1,2018-02-07 09:46:00,,TUOXU717@GMAIL.COM,1,False,,0,
INSTA1,A,INSTASIGN INC.,9035 208 STREET NW ,EDMONTON, AB T5T 1X6,,7808515500,,,,False,,,0,0,0,0,True,O,A,50,False,ACCREC1,2018-02-07 10:11:17,,INSTASIGNAB@GMAIL.COM,1,False,,0,
MICHAE,A,MICHAEL BERNARD,1580 BERKLEY ROAD,NORTH VANCOUVER, BC V7H1Y8,,,,,,False,,,0,0,0,0,True,O,A,50,False,ACCREC1,2018-08-22 15:39:48,,,1,False,,0,
CAMBR1,A,CAMBRIDGE PLUMBING SYSTEMS LTD,4343 FRASER STREET ,VANCOUVER, BC V5V 4G4,,6048722561,,DOUG,2017-02-24 00:00:00,False,,,4000,0,3896.7,0,True,O,A,50,False,ACCREC1,2018-02-07 09:50:34,,PAYABLES@CAMBRIDGEPLUMBING.COM,1,False,,0,
CLEAR1,A,CLEARAWAY REMOVAL SERVICES LTD,3614 DUNSMUIR WAY ,ABBOTSFORD, BC V2S 6G4,,,,BRAD,2018-08-31 00:00:00,False,,,5000,0,53.9,0,True,O,A,50,False,ACCREC1,2018-02-07 09:52:34,,CHRISTINE@SQUARE-ONE.CA; DARREN.CLEARAWAY@SHAW.CA,1,False,,0,
HAJIS1,A,HAJI'S SLEEP SHOP,12540 BRIDGEPORT ROAD ,RICHMOND, BC V6V 1J5,,6042784151,,,2019-09-13 00:00:00,False,,,1500,0,1362.37,0,True,O,A,50,False,ACCREC1,2018-02-07 10:10:23,,SILLOO@SLEEPSHOP.CA,1,False,,0,
MRCTO1,A,MRC TOTAL BUILD ,10141-201 STREET ,LANGLEY, BC V1M 3Y5,,6045757069,,,2018-01-05 00:00:00,False,,,10000,0,199.6,0,True,O,A,50,False,ACCREC1,2018-02-07 10:18:15,,ACCOUNTSPAYABLE@TOTALBUILD.CA,1,False,,0,
UNISO1,A,UNISON CONSTRUCTION MANAGEMENT LTD,200 - 900 WEST HASTINGS STREET,VANCOUVER, BC V6C 1E5,,6047618097,,,2019-04-12 00:00:00,True,,,80000,0,119338.61,0,False,O,A,50,False,ACCREC1,2019-05-14 09:46:32,6046851466,INVOICES@UNISONCM.COM,1,False,,0,
ROMAO1,A,ROMAO ROOFING ,5551 ELWYN DRIVE  ,BURNABY, BC V5E 4A3,,,,,,False,,,0,0,0,0,True,O,A,50,False,ACCREC1,2018-02-07 10:26:25,,R@ROMAOROOFING.CA,1,False,,0,
