CustomerID,CustomerName,Address,Phone,CustSetupDate,Lat,Lng
VICTO1,VICTOR ERIC PREMIUM HOMES LTD,15 EAST 3RD AVENUE  VANCOUVER  BC V5T 1C5,6046770021,2018-02-07 10:35:52,49.26843299999999,-123.1043005
ALTER1,ALTERNATE GLAZING SYSTEMS,3545 197 STREET  LANGLEY  BC V3A 7C4,6048661713,2019-06-17 10:15:41,49.0664869,-122.6782374
PLANNI,PLANNING,URBAN DESIGN & SUSTAINABILITY 453 W 12TH AVE VANCOUVER  BC V5Y 1V4,6048716026,2020-01-28 14:57:47,41.6235425,-93.75484879999999
INTER1,INTERAZ ENTERPRISES INC.,CARRIE CATES COURT  NORTH VANCOUVER  BC V7M 3K7,7788794630,2018-02-07 10:11:25,49.3109563,-123.0815735
TMOSC1,T. MOSCONE LANDSCAPING LTD.,4025 EAST 1ST AVENUE  BURNABY  BC V5C 3W5,6042989626,2018-02-07 10:31:20,49.269596,-123.0156391
ARTIC1,ARTICLE,520 ALEXANDER STREET  VANCOUVER  BC V6A 1C7,8887463455,2018-02-07 09:34:55,49.2837419,-123.0921577
LPSCO1,LPS DEMOLITION INC,120 - 2544 DOUGLAS ROAD BURNABY  BC V5C 5W7,6042980759,2018-02-07 10:56:56,49.2615262,-122.9849969
ROBERT,ROBERTSON FLOORS LTD,400-1055 WEST 14TH STREET  NORTH VANCOUVER  BC V7P 3P2,,2018-02-07 10:26:18,49.32123199999999,-123.089683
MARIN1,MARINO GENERAL CONTRACTING LTD,6676 LABURNUM STREET  VANCOUVER  BC V6P 5M7,,2018-02-07 10:16:33,49.2250855,-123.1506126
MEDIRI,MEDIRIKE CONTRACTING SERVICES,15 - 8171 STEVESTON HIGHWAY  RICHMOND  BC V7A 1M4,,2018-11-20 08:09:55,49.13373,-123.135745
GLASTE,GLASTECH GLAZING CONTRACTORS LTD.,1613 KEBET WAY  PORT COQUITLAM  BC V3C 5W9,,2017-06-19 16:35:07,49.23874,-122.7615476
K2STON,K2 STONE INC,4391 KING GEORGE BLVD  SURREY  BC V3S 0L2,,2017-06-19 16:42:34,49.08119259999999,-122.8213847
SITKAW,SITKA WEST PROJECTS,12 - 618 WEST 6TH AVENUE  VANCOUVER  BC V5Z 1A3,,2018-07-23 10:33:07,49.2654055,-123.1052309
CEDAR1,CEDARLINE INDUSTRIES LTD,6578 144 STREET  SURREY  BC V3W 5R4,6045901550,2018-02-07 09:51:44,49.1221983,-122.8229867
GRIMEF,GRIME FIGHTERS SERVICE GROUP LTD.,107-330 EAST 7TH AVENUE  VANCOUVER  BC V5T4K5,7782377486,2017-06-19 16:35:37,49.2647849,-123.1023885
FLYIN1,FLYING FRESH AIR FREIGHT,UNIT 113  114 MILLER ROAD RICHMOND  BC V7B 1K5,6042331377,2018-08-22 12:30:05,49.1915069,-123.174555
VANCOU,VANCOUVER NATIVE HOUSING SOCIETY,1726 EAST HASTINGS STREET  VANCOUVER  BC V5L 1S9,6043203312,2018-02-07 10:34:15,49.2810807,-123.0698357
WALLCE,WALL - DO NOT USE,,,2018-08-28 11:16:56,,
ROBER1,ROBERTSON WALLS AND CEILINGS,#101A - 17802 66 AVENUE SURREY  BC V3S 7X1,7785744455,2018-02-07 10:26:12,,
NATUR1,NATUREPEDIC VANCOUVER,1588 WEST BROADWAY   VANCOUVER  BC V6J 5K9,6047420066,2018-02-07 10:18:46,49.2634902,-123.140666
SUSPE1,SUSPENDED STAGES INC.,6989 MERRITT AVENUE    BURNABY  BC V5J 4R7,,2018-02-07 10:29:50,49.21999479999999,-122.9806096
BCJOB1,BC JOBSITE SERVICES LTD.,#401-733 W. 14TH ST.  NORTH VANCOUVER  BC V7M 0C6,6049685668,2018-02-07 09:47:02,,
GIZEL1,GIZELLA PASTRY LTD.,3436 LOUGHEED HIGHWAY  BURNABY  BC V5M 2A4,,2017-06-19 16:35:00,49.2627293,-123.0289987
LIGHT1,LIGHT MAZE VANCOUVER,33777 ENTERPRISE AVENUE ABBOTSFORD  BC V2S 7T9,,2018-08-22 15:21:30,49.061162,-122.290425
ATOMC1,ATOM CONSTRUCTION LTD,8711 COOPER ROAD  RICHMOND  BC V6Y 2M6,7782230160,2018-02-07 09:46:00,49.1511371,-123.127272
INSTA1,INSTASIGN INC.,9035 208 STREET NW  EDMONTON  AB T5T 1X6,7808515500,2018-02-07 10:11:17,53.525679,-113.6757574
MICHAE,MICHAEL BERNARD,1580 BERKLEY ROAD NORTH VANCOUVER  BC V7H1Y8,,2018-08-22 15:39:48,49.3215964,-123.0044237
CAMBR1,CAMBRIDGE PLUMBING SYSTEMS LTD,4343 FRASER STREET  VANCOUVER  BC V5V 4G4,6048722561,2018-02-07 09:50:34,49.2460964,-123.0904044
CLEAR1,CLEARAWAY REMOVAL SERVICES LTD,3614 DUNSMUIR WAY  ABBOTSFORD  BC V2S 6G4,,2018-02-07 09:52:34,49.0676573,-122.2635024
HAJIS1,HAJI'S SLEEP SHOP,12540 BRIDGEPORT ROAD  RICHMOND  BC V6V 1J5,6042784151,2018-02-07 10:10:23,49.19181769999999,-123.0846286
MRCTO1,MRC TOTAL BUILD ,10141-201 STREET  LANGLEY  BC V1M 3Y5,6045757069,2018-02-07 10:18:15,49.1862266,-122.6648761
UNISO1,UNISON CONSTRUCTION MANAGEMENT LTD,200 - 900 WEST HASTINGS STREET VANCOUVER  BC V6C 1E5,6047618097,2019-05-14 09:46:32,49.282238,-123.1101458
ROMAO1,ROMAO ROOFING ,5551 ELWYN DRIVE   BURNABY  BC V5E 4A3,,2018-02-07 10:26:25,49.234586,-122.9617931
DOZYN,DOZYN DEZYN PROPERTIES,321 - 13290 78TH AVENUE SURREY  BC V3W 0H6,6045945671,2018-08-22 11:01:16,49.1441093,-122.8545603
