Reference,Customer,Invoice,InvoiceDate,Total,Payments,Hours,Pay,Comp,Burden,Pass,Profit,%Profit,Terms,PostedToAR,ReversedTotal,LocationId
1,ALLAI1,8003,2017-01-18 00:00:00,335.58,0,8,176,9.42,0,15.98,134.18,41.9837,A,True,0,1
1,ALLAI1,8005,2017-01-24 00:00:00,-335.58,0,-8,-176,-9.42,0,-15.98,-134.18,41.9837,A,True,0,1
102,ATIRA1,10000,2017-01-27 00:00:00,0,0,0,0,0,0,0,0,25.792,A,True,837.9,1
104,ATIRA2,8006,2017-01-24 00:00:00,167.58,0,8,104,0.36,14.07,7.98,41.17,25.7957,A,True,0,1
104,ATIRA2,10001,2017-01-27 00:00:00,-167.58,0,-8,-104,-0.36,-14.07,-7.98,-41.17,25.7957,A,True,0,1
128,ABBOTK,10150,2017-02-10 00:00:00,0,0,0,0,0,0,0,0,25.3972,A,True,4476.6,1
137,ALLAI1,10151,2017-02-10 00:00:00,756.56,0,19.5,492.25,26.34,66.6,36.03,135.34,18.7834,A,True,0,1
4,ALPHA1,10152,2017-02-10 00:00:00,1715.81,0,78,1014,54.25,137.19,81.71,428.66,26.2322,A,True,0,1
91,ALPHA1,10153,2017-02-10 00:00:00,857.9,0,39,507,27.12,68.6,40.85,214.33,26.2322,A,True,0,1
3,ALPHA1,10298,2017-02-10 00:00:00,1005.9,0,40,600,32.1,81.18,47.9,244.72,25.5449,A,True,0,1
4,ALPHA1,10299,2017-02-10 00:00:00,1935.78,0,88,1144,61.2,154.78,92.18,483.62,26.2324,A,True,0,1
91,ALPHA1,10300,2017-02-10 00:00:00,472.95,0,21.5,279.5,14.95,37.82,22.52,118.16,26.2327,A,True,0,1
9,ALTER1,10156,2017-02-10 00:00:00,2901.47,0,94,1700,90.95,230.01,138.17,742.34,26.8643,A,True,0,1
7,ALTER1,10220,2017-02-17 00:00:00,11921.84,0,359,6856.75,356.77,927.72,567.71,3212.89,28.2971,A,True,0,1
8,ALTER1,10291,2017-02-10 00:00:00,3417.1,0,112.5,1932.5,103.39,261.47,162.72,957.02,29.4071,A,True,0,1
8,ALTER1,10292,2017-02-10 00:00:00,3356.59,0,104.5,1874.5,99.4,253.62,159.84,969.23,30.3192,A,True,0,1
7,ALTER1,10301,2017-02-10 00:00:00,11038.01,0,328,6286,330.84,850.5,525.62,3045.05,28.9663,A,True,0,1
9,ALTER1,10302,2017-02-10 00:00:00,3320.57,0,111,1936,103.58,261.94,158.12,860.93,27.2235,A,True,0,1
10,ALTOC1,10221,2017-02-17 00:00:00,2431.8,0,80,1520,81.32,205.66,115.8,509.02,21.9784,A,True,0,1
10,ALTOC1,10303,2017-02-10 00:00:00,2431.8,0,80,1520,81.32,205.66,115.8,509.02,21.9784,A,True,0,1
13,AQUILI,10062,2017-02-10 00:00:00,7740.36,0,198.5,4556.5,220.15,616.49,368.59,1978.63,26.8406,A,True,0,1
13,AQUILI,10285,2017-02-10 00:00:00,7869.89,0,201.5,4593.75,227.24,621.53,374.76,2052.61,27.3859,A,True,0,1
84,AQUILI,10293,2017-02-10 00:00:00,1974,0,80,1160,62.06,156.95,94,500.99,26.6484,A,True,0,1
84,AQUILI,10294,2017-02-10 00:00:00,1974,0,80,1160,62.06,156.95,94,500.99,26.6484,A,True,0,1
14,AQUILI,10304,2017-02-10 00:00:00,2708.25,0,95.5,1642.75,83.27,222.26,128.96,631.01,24.4645,A,True,0,1
14,AQUILI,10305,2017-02-10 00:00:00,1696.02,0,48.25,1044.63,50.81,141.34,80.76,378.48,23.4315,A,True,0,1
15,ARTIC1,10063,2017-02-10 00:00:00,87.99,0,4,52,2.78,7.04,4.19,21.98,26.2291,A,True,0,1
15,ARTIC1,10223,2017-02-17 00:00:00,230.98,0,10.5,136.5,7.3,18.47,11,57.71,26.2342,A,True,0,1
96,ATIRA1,10064,2017-02-10 00:00:00,251.37,0,12,156,0.55,21.11,11.97,61.74,25.7895,A,True,0,1
103,ATIRA1,10067,2017-02-10 00:00:00,52.37,0,2.5,32.5,0.11,4.4,2.49,12.87,25.8019,A,True,0,1
96,ATIRA1,10162,2017-02-10 00:00:00,502.74,0,24,312,1.09,42.21,23.94,123.5,25.7937,A,True,0,1
103,ATIRA1,10164,2017-02-10 00:00:00,251.37,0,12,156,0.55,21.11,11.97,61.74,25.7895,A,True,0,1
98,ATIRA1,10224,2017-02-17 00:00:00,83.79,0,4,52,0.18,7.04,3.99,20.58,25.7895,A,True,0,1
97,ATIRA1,10306,2017-02-10 00:00:00,418.95,0,20,260,0.91,35.18,19.95,102.91,25.792,A,True,0,1
